team_id;fifa_version;team_name;league_name;league_level;nationality_id;nationality_name;coach_id;home_stadium;international_prestige
226;23;Sochaux;Ligue 2;2;18;France;97208;Stadion Neder;1
229;23;Anderlecht;Jupiler Pro League;1;7;Belgium;1030184;Stade Municipal;5
230;23;Antwerp;Jupiler Pro League;1;7;Belgium;24381;Forest Park Stadium (Square Ground);5
231;23;Club Brugge;Jupiler Pro League;1;7;Belgium;121;Waldstadion (Fussballstadion);5
232;23;Standard Liège;Jupiler Pro League;1;7;Belgium;455793;Waldstadion (Fussballstadion);5
234;23;Benfica;Liga Portugal;1;38;Portugal;883017;Estádio da Luz;6
236;23;Porto;Liga Portugal;1;38;Portugal;523928;Estádio do Dragão;7
237;23;Sporting CP;Liga Portugal;1;38;Portugal;158158;Waldstadion (Fussballstadion);4
240;23;Atlético Madrid;La Liga;1;45;Spain;452946;Wanda Metropolitano;9
241;23;FC Barcelona;La Liga;1;45;Spain;184942;El Libertador (La Bombastico);10
243;23;Real Madrid;La Liga;1;45;Spain;455800;Estadio Santiago Bernabéu;10
244;23;Real Zaragoza;La Liga 2;2;45;Spain;37552521;El Libertador (La Bombastico);2
245;23;Ajax;Eredivisie;1;34;Netherlands;23435;Johan Cruijff ArenA;7
246;23;Feyenoord;Eredivisie;1;34;Netherlands;23180;Eastpoint Arena (Football Ground);4
247;23;PSV;Eredivisie;1;34;Netherlands;30963;463;5
252;23;LASK Linz;Bundesliga;1;4;Austria;15062004;Court Lane;5
254;23;Rapid Wien;Bundesliga;1;4;Austria;51306;Stadion Europa (Generic Europe 2);5
256;23;Austria Wien;Bundesliga;1;4;Austria;37575021;Stade Municipal;5
260;23;Tenerife;La Liga 2;2;45;Spain;455944;Estadio Presidente G.Lopes;1
263;23;Hajduk Split;1. HNL;1;10;Croatia;456549;Stadion Hanguk;3
266;23;Slavia Praha;Fortuna Liga;1;12;Czech Republic;455705;Stade Municipal;6
267;23;Sparta Praha;Fortuna Liga;1;12;Czech Republic;82974;Waldstadion (Fussballstadion);4
269;23;Brøndby;Superliga;1;13;Denmark;896137;Waldstadion (Fussballstadion);2
270;23;Silkeborg;Superliga;1;13;Denmark;457779;Court Lane;1
271;23;AGF;Superliga;1;13;Denmark;524374;Euro Arena;1
272;23;OB;Superliga;1;13;Denmark;465296;Court Lane;1
278;23;AEK Athens;Super League;1;22;Greece;896756;Waldstadion (Fussballstadion);5
294;23;Troyes;Ligue 2;1;18;France;1477272;Stadion Neder;1
298;23;Rosenborg;Eliteserien;1;36;Norway;18567633;Forest Park Stadium (Square Ground);4
299;23;Lillestrøm;Eliteserien;1;36;Norway;458681;Crown Lane;1
300;23;Viking;Eliteserien;1;36;Norway;37571867;Molton Road (Sheldon Stadium);1
301;23;Widzew Lodz;Ekstraklasa;1;37;Poland;37262404;Stadion Neder;1
305;23;Bohemians;Premier Division;1;25;Republic of Ireland;1182371;Town Park;1
306;23;Shamrock Rovers;Premier Division;1;25;Republic of Ireland;120775;Town Park;2
308;23;Universitatea Craiova;Liga 1;1;39;Romania;163743;Sanderson Park (FIFA 13 NEW generic);3
310;23;Rapid Bucuresti;Liga 1;1;39;Romania;95782;Molton Road (Sheldon Stadium);2
319;23;IFK Göteborg;Allsvenskan;1;46;Sweden;452689;Stadion Neder;1
320;23;Malmö FF;Allsvenskan;1;46;Sweden;474444;Stade Municipal;4
322;23;Grasshopper;Super League;1;47;Switzerland;896655;Euro Arena;3
324;23;Servette;Super League;1;47;Switzerland;19980296;Stadion Neder;3
325;23;Galatasaray;Super Lig;1;48;Turkey;199988;Sanderson Park (FIFA 13 NEW generic);7
326;23;Fenerbahçe;Super Lig;1;48;Turkey;523923;Waldstadion (Fussballstadion);6
327;23;Be?ikta?;Super Lig;1;48;Turkey;896570;Waldstadion (Fussballstadion);6
347;23;Lecce;Serie A;1;27;Italy;455848;Stadio Classico;1
357;23;Morecambe;League Two;3;14;England;524027;Town Park;1
361;23;Stevenage;League One;4;14;England;524208;Town Park;1
378;23;Brest;Ligue 1;1;18;France;456603;Crown Lane;1
379;23;Stade de Reims;Ligue 1;1;18;France;523909;Stade Municipal;1
381;23;Barrow;League Two;4;14;England;28184231;469;1
383;23;Palmeiras;Serie A;1;54;Brazil;2511092;Estadio de las Artes (Generic Stadium NG);6
393;23;PAOK;Super League;1;22;Greece;458545;Stadio Classico;4
417;23;Molde;Eliteserien;1;36;Norway;32396043;Stadion Neder;3
418;23;Tromsø;Eliteserien;1;36;Norway;469995;Town Park;1
420;23;Górnik Zabrze;Ekstraklasa;1;37;Poland;20693356;Waldstadion (Fussballstadion);2
423;23;St Patrick's;Premier Division;1;25;Republic of Ireland;121795;Town Park;1
432;23;Helsingborg;Allsvenskan;1;46;Sweden;51459;Molton Road (Sheldon Stadium);1
433;23;AIK;Allsvenskan;1;46;Sweden;184993;Waldstadion (Fussballstadion);2
436;23;Trabzonspor;Super Lig;1;48;Turkey;460597;Sanderson Park (FIFA 13 NEW generic);5
445;23;Derry City;Premier Division;1;35;Northern Ireland;120315;Town Park;1
448;23;Athletic Club;La Liga;1;45;Spain;470943;Estadio San Mamés;5
449;23;Real Betis;La Liga;1;45;Spain;523898;Estadio Benito Villamarín;3
450;23;Celta de Vigo;La Liga;1;45;Spain;251872;Estadio Abanca-Balaídos;4
452;23;Espanyol;La Liga 2;1;45;Spain;466541;RCDE Stadium;3
453;23;Mallorca;La Liga;1;45;Spain;896798;Visit Mallorca Estadi;1
456;23;Racing Santander;La Liga 2;2;45;Spain;524660;Stade Municipal;1
457;23;Real Sociedad;La Liga;1;45;Spain;530755;Reale Arena;4
459;23;Sporting Gijón;La Liga 2;2;45;Spain;896649;Stade Municipal;1
461;23;Valencia;La Liga;1;45;Spain;127965;Estadio Mestalla;6
462;23;Real Valladolid;La Liga 2;1;45;Spain;1068543;Estadio José Zorrilla;1
463;23;Deportivo Alavés;La Liga;2;45;Spain;16111977;Estadio de Mendizorroza;1
467;23;SD Eibar;La Liga 2;2;45;Spain;883095;Municipal de Ipurua;1
468;23;Elche;La Liga 2;1;45;Spain;467859;El Libertador (La Bombastico);1
472;23;Las Palmas;La Liga;2;45;Spain;7330518;Estadio de Gran Canaria;1
479;23;Osasuna;La Liga;1;45;Spain;456423;437;1
480;23;Rayo Vallecano;La Liga;1;45;Spain;19960388;Estadio de Vallecas;1
481;23;Sevilla;La Liga;1;45;Spain;456014;Ramón Sánchez-Pizjuán;8
483;23;Villarreal;La Liga;1;45;Spain;455907;Estadio de la Cerámica;7
485;23;Hannover 96;2. Bundesliga;2;21;Germany;33182;HDI-Arena;1
